,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,2,1,3,5,2,3,6,3.87563188,5.188631005,-3.083122433,4.078926223,3.120334864
3,9,3,2,4,2,2,4,7,9.093539635,10.25001481,2.518689419,2.598415233,-6.267309946
4,8,2.3,3,2,4,2,5,8,5.697466926,1.070167545,5.333885499,-2.788234841,10.35829917
5,7,1,3,3,2,2,4,5,6.614543003,-2.975896502,2.915298772,1.980208185,7.266367249
6,8,2,3,4,5,3,3,6,10.89277474,3.223443912,3.075967888,7.752405212,7.454083734
7,6,3,3,5,2,2,4,7,2.619922427,6.840243705,4.967629929,-2.225155148,-1.615093872
8,8,4,2,3,1,2,2,8,8.682266384,-3.11192086,6.870152507,1.95080527,1.123905975
9,7,2,3,4,2,2,5,6,8.838258819,3.955812081,2.776819429,1.817412008,2.738406589
10,3,4,2,2,4,2,5,2,3.855906069,2.372874657,-2.154648912,1.196524105,4.264167439
11,2,5,3,1,2,3,6,3,-2.943992762,15.6516152,4.73285058,-3.250162027,4.550606419
12,3,4,4,3,3,2,7,4,4.307333672,7.606371954,9.04086828,5.74099539,1.865235897
13,3,5,1,2,4,3,7,3,2.350873651,7.290302986,-5.574981067,5.569866103,7.677965013
14,2,3,2,1,5,1,6,2,1.883470372,5.430963807,-0.459533342,-4.857014488,2.953747327
15,1,6,3,1,6,2,5,1,5.728743862,-3.155425964,8.136956615,12.73596455,7.882409486
16,3,7,2,2,4,3,6,2,0.848524787,0.624263701,7.351418475,2.235335932,4.326165644
17,2,3,2,2,5,4,7,3,7.530360729,4.245308783,4.002795488,4.20066597,8.038469369
18,1,4,3,3,4,3,7,2,-3.561296926,3.007677888,7.212515499,0.456801843,4.60432867
19,3,1,7,1,6,3,6,1,-0.444431432,-0.618868864,7.482037413,1.006868851,5.214358841
20,0,2,7,2,7,4,7,2,0.089574614,-1.303808035,5.345243511,0.586030807,3.526936453
21,2,3,5,3,8,3,5,3,2.049128225,10.54263318,4.900526688,1.872347347,4.369230897
22,3,1,6,2,7,3,4,2,4.2130872,-5.129570646,7.061995996,-1.466189966,6.858333857
23,1,2,6,1,6,4,5,2,6.012856925,8.218446712,6.586798332,9.140441469,7.955493316
24,4,3,4,2,7,2,6,3,2.327297175,2.272349185,12.82930476,-2.790101833,9.95231535
25,3,1,5,2,8,3,7,4,6.004332399,-4.749538032,8.070332498,0.46115507,9.115722836
26,1,2,6,2,6,4,6,5,-6.287868446,2.485786349,5.0501109,2.524106132,-3.923820447
27,2,3,7,2,7,2,5,4,-0.232862713,12.43457487,7.760322419,-0.490090457,6.458972697
28,3,4,3,3,4,3,4,3,2.392018354,6.888244266,0.50553001,4.17229511,5.724582331
29,4,1,1,7,2,2,3,7,4.537304389,2.452496703,1.195191263,10.17843793,5.208793591
30,5,2,2,4,3,1,2,6,4.32964467,9.164921802,-1.457228311,0.664768595,2.292564755
31,3,2,3,6,2,3,4,7,0.232099972,4.565410116,3.93923361,2.950140741,-2.279230189
32,3,3,3,7,1,2,3,8,4.288303348,5.484268691,4.681652052,-2.587416826,2.773029844
33,2,4,2,4,2,2,1,6,2.032257186,5.503557068,-0.427320676,7.253482579,2.531532788
34,3,2,2,5,3,2,5,5,-4.66904396,2.209193932,1.251783429,2.113491726,1.539952365
35,4,2,2,6,1,2,6,4,4.016279245,1.876230701,1.271686102,3.153988178,-9.032620794
36,2,1,3,5,2,2,3,4,1.195849847,2.727807836,1.713838772,2.142660601,0.89236148
37,1,3,3,4,3,1,2,7,0.731292964,7.645071473,9.40231116,9.82062099,5.426454392
38,2,3,2,4,5,1,2,8,-0.108517794,0.912611885,5.774449919,10.37751235,2.565646647
39,4,4,1,5,4,2,2,2,0.612907917,11.92026268,-0.078808682,5.968921157,4.70911503
40,5,5,2,4,5,1,2,2,15.97006962,3.051637499,-0.56628992,-1.31029877,7.972927093
41,3,3,1,5,6,2,1,3,3.913175013,-7.555015905,7.36928085,5.284788502,6.600014829
42,5,4,2,6,7,3,3,1,5.142810025,3.19571259,4.671897836,6.149915563,7.653320067
43,2,3,3,5,5,2,3,2,0.230636397,5.862044974,4.701840449,5.716421581,6.421100653
